scene_id,mean_entropy,max_entropy,std_entropy,high_entropy_ratio,n_objects,n_metal,n_rubber,has_metal
261,0.5642152428627014,0.9963841438293457,0.24745672941207886,0.3715720663265306,8,6,4,True
262,0.5667819380760193,0.9960098266601562,0.25208428502082825,0.3618861607142857,9,4,5,True
263,0.5968706011772156,0.9997990727424622,0.24943184852600098,0.41786910076530615,7,1,6,True
264,0.6089048385620117,0.9995949268341064,0.2608354389667511,0.5374282525510204,5,1,4,True
265,0.5904810428619385,0.9933778047561646,0.25471746921539307,0.42002152423469385,4,1,3,True
266,0.5184745192527771,0.9995410442352295,0.2580518424510956,0.27828045280612246,8,4,4,True
267,0.5828255414962769,0.9993420243263245,0.24996839463710785,0.36756616709183676,6,4,3,True
268,0.6242824196815491,0.9995039105415344,0.22753480076789856,0.42721619897959184,5,2,3,True
269,0.6148529648780823,0.9997722506523132,0.22790154814720154,0.446109693877551,9,3,6,True
270,0.6023226380348206,0.9993971586227417,0.24301956593990326,0.42482461734693877,10,5,5,True
271,0.6118590235710144,0.9997846484184265,0.2480599582195282,0.4130859375,9,5,5,True
272,0.5921555161476135,0.9990694522857666,0.23412485420703888,0.39247847576530615,7,6,2,True
273,0.5980796813964844,0.9981959462165833,0.2584521174430847,0.45326450892857145,8,2,6,True
274,0.5446674823760986,0.9996976852416992,0.23621757328510284,0.285335618622449,7,5,2,True
275,0.5412485599517822,0.9863847494125366,0.22051410377025604,0.28479751275510207,9,5,4,True
276,0.4662156105041504,0.9683740139007568,0.28572431206703186,0.23620854591836735,10,4,6,True
277,0.5541297197341919,0.9960967302322388,0.27309945225715637,0.3614875637755102,10,6,4,True
278,0.6839210987091064,0.9988947510719299,0.23415584862232208,0.5594108737244898,3,1,2,True
279,0.5537306070327759,0.9994823336601257,0.2767014801502228,0.3598732461734694,5,2,4,True
280,0.5281168222427368,0.9988859295845032,0.24302834272384644,0.26173867984693877,8,4,5,True
281,0.5847590565681458,0.9993781447410583,0.24216701090335846,0.33719308035714285,5,4,1,True
282,0.6067085862159729,0.9853886365890503,0.23779331147670746,0.36886160714285715,5,3,2,True
283,0.46442413330078125,0.9615037441253662,0.2686052918434143,0.24465880102040816,7,4,3,True
284,0.6093140244483948,0.9998953938484192,0.22837594151496887,0.4369419642857143,9,7,3,True
285,0.5095036625862122,0.9974300861358643,0.2818969190120697,0.29952566964285715,4,3,2,True
286,0.6303014755249023,0.9997124671936035,0.25710195302963257,0.48630819515306123,3,1,2,True
287,0.7100130915641785,0.9998117685317993,0.22822481393814087,0.6131218112244898,5,4,1,True
288,0.5883265733718872,0.9981012940406799,0.2556724548339844,0.3843271683673469,5,2,3,True
289,0.7317264080047607,1.0,0.16350358724594116,0.6151546556122449,3,1,3,True
290,0.646231472492218,0.9996931552886963,0.2259807288646698,0.49374202806122447,6,3,5,True
291,0.5285738110542297,0.999464213848114,0.26230213046073914,0.31319754464285715,9,4,6,True
292,0.6168690323829651,0.993362545967102,0.27316519618034363,0.5095065369897959,7,3,4,True
293,0.5663797855377197,0.9996833801269531,0.28173795342445374,0.38285235969387754,4,1,3,True
294,0.4670005440711975,0.9995083808898926,0.26403409242630005,0.24384167729591838,8,6,3,True
295,0.566862165927887,0.9976245164871216,0.2641075551509857,0.3878148915816326,3,1,2,True
296,0.529844343662262,0.9998460412025452,0.26991432905197144,0.284976881377551,4,3,1,True
297,0.45648446679115295,0.9900732636451721,0.27051252126693726,0.22100207270408162,7,5,2,True
298,0.4951712191104889,0.9975828528404236,0.2532951533794403,0.24876434948979592,10,7,3,True
